Informazioni cronologiche,Indirizzo email,Title,Author list,Conference,Year,Category,Section,Sub-section,Short description (1-2 lines),Link paper,Link page,Link code,Link video,Note,Git Command
,,Time-Conditioned Action Anticipation in One Shot," Qiuhong Ke, Mario Fritz, Bernt Schiele",CVPR,2019,Papers,Action Anticipation,Long-Term Action Anticipation,,https://openaccess.thecvf.com/content_CVPR_2019/html/Ke_Time-Conditioned_Action_Anticipation_in_One_Shot_CVPR_2019_paper.html,,,,,
,,When Will You Do What? - Anticipating Temporal Occurrences of Activities," Anticipating Temporal Occurrences of Activities](https://openaccess.thecvf.com/content_cvpr_2018/html/Abu_Farha_When_Will_You_CVPR_2018_paper.html) - Yazan Abu Farha, Alexander Richard, Juergen Gall",CVPR,2018,Papers,Action Anticipation,Long-Term Action Anticipation,,https://openaccess.thecvf.com/content_cvpr_2018/html/Abu_Farha_When_Will_You_CVPR_2018_paper.html,,,,,
,,Joint Prediction of Activity Labels and Starting Times in Untrimmed Videos," Tahmida Mahmud, Mahmudul Hasan, Amit K. Roy-Chowdhury",ICCV,2017,Papers,Action Anticipation,Long-Term Action Anticipation,,https://openaccess.thecvf.com/content_ICCV_2017/papers/Mahmud_Joint_Prediction_of_ICCV_2017_paper.pdf,,,,,
,,First-Person Activity Forecasting with Online Inverse Reinforcement Learning," Nicholas Rhinehart, Kris M. Kitani",ICCV,2017,Papers,Action Anticipation,Long-Term Action Anticipation,,https://arxiv.org/pdf/1612.07796,,,https://youtu.be/rvVoW3iuq-s,,
,,Unsupervised gaze prediction in egocentric videos by energy-based surprise modeling," Aakur, S.N., Bagavathi, A.",ArXiv,2020,Papers,Action Anticipation,Future Gaze Prediction,,http://arxiv.org/abs/2001.11580,,,,,
,,Digging Deeper into Egocentric Gaze Prediction, Hamed R. Tavakoli and Esa Rahtu and Juho Kannala and Ali Borji,WACV,2019,Papers,Action Anticipation,Future Gaze Prediction,,https://arxiv.org/pdf/1904.06090,,,,,
,,Predicting Gaze in Egocentric Video by Learning Task-dependent Attention Transition," Huang, Y., Cai, M., Li, Z., & Sato, Y.",ECCV,2018,Papers,Action Anticipation,Future Gaze Prediction,,https://arxiv.org/pdf/1803.09125,,https://github.com/hyf015/egocentric-gaze-prediction,,,
,,Deep future gaze: Gaze anticipation on egocentric videos using adversarial networks," Zhang, M., Teck Ma, K., Hwee Lim, J., Zhao, Q., & Feng, J.",CVPR,2017,Papers,Action Anticipation,Future Gaze Prediction,,https://openaccess.thecvf.com/content_cvpr_2017/papers/Zhang_Deep_Future_Gaze_CVPR_2017_paper.pdf,,https://github.com/Mengmi/deepfuturegaze_gan,,,
,,Learning to predict gaze in egocentric video," Li, Yin, Alireza Fathi, and James M. Rehg",ICCV,2013,Papers,Action Anticipation,Future Gaze Prediction,,http://ai.stanford.edu/~alireza/publication/Li-Fathi-Rehg-ICCV13.pdf,,,,,
,,Forecasting Action through Contact Representations from First Person Video, Eadom Dessalene; Chinmaya Devaraj; Michael Maynord; Cornelia Fermuller; Yiannis Aloimonos,T-PAMI,2021,Papers,Action Anticipation,Trajectory prediction,,https://ieeexplore.ieee.org/abstract/document/9340014?casa_token=PUk2a8mN4CoAAAAA:ICkziPRIBtlxgzsyJm9ZVxUIzGnEq0phTHLOP8G8TxFlTIp159calFp8jZOdUCnxeWTknFjlB0w,,,,,
,,Multimodal Future Localization and Emergence Prediction for Objects in Egocentric View With a Reachability Prior," Makansi, Osama and Cicek, Ozgun and Buchicchio, Kevin and Brox, Thomas",CVPR,2020,Papers,Action Anticipation,Trajectory prediction,,https://openaccess.thecvf.com/content_CVPR_2020/papers/Makansi_Multimodal_Future_Localization_and_Emergence_Prediction_for_Objects_in_Egocentric_CVPR_2020_paper.pdf,,https://github.com/lmb-freiburg/FLN-EPN-RPN,,,
,,Understanding Human Hands in Contact at Internet Scale," Dandan Shan, Jiaqi Geng, Michelle Shu, David F. Fouhey",CVPR,2020,Papers,Action Anticipation,Trajectory prediction,,https://openaccess.thecvf.com/content_CVPR_2020/html/Shan_Understanding_Human_Hands_in_Contact_at_Internet_Scale_CVPR_2020_paper.html,,,,,
,,Forecasting Human-Object Interaction: Joint Prediction of Motor Attention and Actions in First Person Video," Miao Liu, Siyu Tang, Yin Li, James M. Rehg",ECCV,2020,Papers,Action Anticipation,Trajectory prediction,,https://www.ecva.net/papers/eccv_2020/papers_ECCV/papers/123460681.pdf,,,,,
,,How Can I See My Future? FvTraj: Using First-person View for Pedestrian Trajectory Prediction," Huikun Bi, Ruisi Zhang, Tianlu Mao, Zhigang Deng, Zhaoqi Wang",ECCV,2020,Papers,Action Anticipation,Trajectory prediction,,https://www.ecva.net/papers/eccv_2020/papers_ECCV/papers/123520562.pdf,,,https://youtu.be/HcsyH7zMHAw,,
,,Future Person Localization in First-Person Videos, Takuma Yagi; Karttikeya Mangalam; Ryo Yonetani; Yoichi Sato,CVPR,2018,Papers,Action Anticipation,Trajectory prediction,,https://ieeexplore.ieee.org/document/8578890,,,,,
,,Egocentric Future Localization," Park, Hyun Soo and Hwang, Jyh-Jing and Niu, Yedong and Shi, Jianbo",CVPR,2016,Papers,Action Anticipation,Trajectory prediction,,https://openaccess.thecvf.com/content_cvpr_2016/papers/Park_Egocentric_Future_Localization_CVPR_2016_paper.pdf,,,,,
,,Going deeper into first-person activity recognition," Ma, M., Fan, H., & Kitani, K. M.",CVPR,2016,Papers,Action Anticipation,Trajectory prediction,,http://www.cs.cmu.edu/~kkitani/pdf/MFK-CVPR2016.pdf,,,,,
,,EGO-TOPO: Environment Affordances from Egocentric Video," Nagarajan, Tushar and Li, Yanghao and Feichtenhofer, Christoph and Grauman, Kristen",CVPR,2020,Papers,Action Anticipation,Region prediction,,https://openaccess.thecvf.com/content_CVPR_2020/papers/Nagarajan_Ego-Topo_Environment_Affordances_From_Egocentric_Video_CVPR_2020_paper.pdf,,,,,
,, Forecasting human object interaction: Joint prediction of motor attention and egocentric activity," Liu, M., Tang, S., Li, Y., Rehg, J.",arXiv,2019,Papers,Action Anticipation,Region prediction,,http://arxiv.org/abs/1911.10967,,,,,
,,Forecasting Hands and Objects in Future Frames," Chenyou Fan, Jangwon Lee, Michael S. Ryoo",ECCVW,2018,Papers,Action Anticipation,Region prediction,,https://openaccess.thecvf.com/content_eccv_2018_workshops/w15/html/Fan_Forecasting_Hands_and_Objects_in_Future_Frames_ECCVW_2018_paper.html,,,,,
,,Next-active-object prediction from egocentric videos," Antonino Furnari, Sebastiano Battiato, Kristen Grauman, Giovanni Maria Farinella",JVCIR,2017,Papers,Action Anticipation,Region prediction,,https://www.sciencedirect.com/science/article/abs/pii/S1047320317301967,,,,,
,,First Person Action-Object Detection with EgoNet," G Bertasius, HS Park, SX Yu, J Shi",arXiv,2016,Papers,Action Anticipation,Region prediction,,https://arxiv.org/abs/1603.04908,,,,,
,,Unsupervised Learning of Important Objects From First-Person Videos," Gedas Bertasius, Hyun Soo Park, Stella X. Yu, Jianbo Shi",ICCV,2017,Papers,Action Anticipation,Region prediction,,https://openaccess.thecvf.com/content_iccv_2017/html/Bertasius_Unsupervised_Learning_of_ICCV_2017_paper.html,,,,,
,,Attention Bottlenecks for Multimodal Fusion," Arsha Nagrani, Shan Yang, Anurag Arnab, Aren Jansen, Cordelia Schmid, Chen Sun",NIPS,2021,Papers,Multi-Modalities,Audio-Visual,,https://arxiv.org/abs/2107.00135,,,,,
,,Domain Generalization through Audio-Visual Relative Norm Alignment in First Person Action Recognition," Mirco Planamente, Chiara Plizzari, Emanuele Alberti, Barbara Caputo",WACV,2022,Papers,Multi-Modalities,Audio-Visual,,https://arxiv.org/abs/2110.10101,,,,,
,,With a Little Help from my Temporal Context: Multimodal Egocentric Action Recognition," Evangelos Kazakos, Jaesung Huh, Arsha Nagrani, Andrew Zisserman, Dima Damen",BMVC,2021,Papers,Multi-Modalities,Audio-Visual,,https://arxiv.org/abs/2111.01024,,,,,
,,Slow-Fast Auditory Streams For Audio Recognition," Evangelos Kazakos, Arsha Nagrani, Andrew Zisserman, Dima Damen",ICASSP,2021,Papers,Multi-Modalities,Audio-Visual,,https://arxiv.org/abs/2103.03516,,,,,
,,Multi-modal Egocentric Activity Recognition using Audio-Visual Features," Mehmet Ali Arabacı, Fatih Özkan, Elif Surer, Peter Jančovič, Alptekin Temizel",MTA,2020,Papers,Multi-Modalities,Audio-Visual,,https://arxiv.org/pdf/1807.00612.pdf,,,,,
,,EPIC-Fusion: Audio-Visual Temporal Binding for Egocentric Action Recognition," Kazakos, Evangelos and Nagrani, Arsha and Zisserman, Andrew and Damen, Dima",ICCV,2019,Papers,Multi-Modalities,Audio-Visual,,https://openaccess.thecvf.com/content_ICCV_2019/papers/Kazakos_EPIC-Fusion_Audio-Visual_Temporal_Binding_for_Egocentric_Action_Recognition_ICCV_2019_paper.pdf,,,,,
,,Seeing and Hearing Egocentric Actions: How Much Can We Learn?,"Alejandro Cartas, Jordi Luque, Petia Radeva, Carlos Segura, Mariella Dimiccoli",WICCV,2019,Papers,Multi-Modalities,Audio-Visual,,https://arxiv.org/abs/1910.06693,,,,,
,,Trear: Transformer-based RGB-D Egocentric Action Recognition," Xiangyu Li, Yonghong Hou, Pichao Wang, Zhimin Gao, Mingliang Xu, Wanqing Li",TCDS,2020,Papers,Multi-Modalities,Depth,,https://ieeexplore.ieee.org/abstract/document/9312201?casa_token=VjrXPrZDuSgAAAAA:ezQgxMoeH7q3fxl8su7zg1yghkp60nbxCwU3FxyZEKWghbUVozmKmS_YE99AYceBr3lxA6Ud,,,,,
,,First-Person Hand Action Benchmark with RGB-D Videos and 3D Hand Pose Annotations," Garcia-Hernando, Guillermo and Yuan, Shanxin and Baek, Seungryul and Kim, Tae-Kyun",CVPR,2018,Papers,Multi-Modalities,Depth,,https://openaccess.thecvf.com/content_cvpr_2018/papers/Garcia-Hernando_First-Person_Hand_Action_CVPR_2018_paper.pdf,,https://github.com/guiggh/hand_pose_action,,,
,,Multi-stream Deep Neural Networks for RGB-D Egocentric Action Recognition," Yansong Tang, Zian Wang, Jiwen Lu, Jianjiang Feng, Jie Zhou",TCSVT,2018,Papers,Multi-Modalities,Depth,,http://www.cs.toronto.edu/~zianwang/MDNN/TCSVT18_MDNN.pdf,,,,,
,,Action recognition in RGB-D egocentric videos," Yansong Tang, Yi Tian, Jiwen Lu, Jianjiang Feng, Jie Zhou",ICIP,2017,Papers,Multi-Modalities,Depth,,https://ieeexplore.ieee.org/document/8296915,,,,,
,,Scene Semantic Reconstruction from Egocentric RGB-D-Thermal Videos," Rachel Luo, Ozan Sener, Silvio Savarese",3DV,2017,Papers,Multi-Modalities,Depth,,https://ieeexplore.ieee.org/abstract/document/8374614,,,,,
,,3D Hand Pose Detection in Egocentric RGB-D Images," Grégory Rogez, Maryam Khademi, J. S. Supančič III, J. M. M. Montiel, Deva Ramanan",WECCV,2014,Papers,Multi-Modalities,Depth,,https://link.springer.com/chapter/10.1007/978-3-319-16178-5_25,,,,,
,,Scene Semantic Reconstruction from Egocentric RGB-D-Thermal Videos," Rachel Luo, Ozan Sener, Silvio Savarese",3DV,2017,Papers,Multi-Modalities,Thermal,,https://ieeexplore.ieee.org/abstract/document/8374614,,,,,
,,E(GO)^2MOTION: Motion Augmented Event Stream for Egocentric Action Recognition," Chiara Plizzari, Mirco Planamente, Gabriele Goletto, Marco Cannici, Emanuele Gusso, Matteo Matteucci, Barbara Caputo",,2021,Papers,Multi-Modalities,Event,,https://arxiv.org/abs/2112.03596,,,,,
,,UnweaveNet: Unweaving Activity Stories," Will Price, Carl Vondrick, Dima Damen",,2021,Papers,Temporal Segmentation (Action Detection),,,https://arxiv.org/pdf/2112.10194.pdf,,,,,
,,Temporal Action Segmentation from Timestamp Supervision," Zhe Li, Yazan Abu Farha, Jurgen Gall",CVPR,2021,Papers,Temporal Segmentation (Action Detection),,,https://openaccess.thecvf.com/content/CVPR2021/papers/Li_Temporal_Action_Segmentation_From_Timestamp_Supervision_CVPR_2021_paper.pdf,,,,,
,,Personal-Location-Based Temporal Segmentation of Egocentric Video for Lifelogging Applications," A. Furnari, G. M. Farinella, S. Battiato", Journal of Visual Communication and Image Representation,2017,Papers,Temporal Segmentation (Action Detection),,,https://iplab.dmi.unict.it/PersonalLocationSegmentation/downloads/furnari2018personal.pdf,,,,,
,,Temporal segmentation and activity classification from first-person sensing," Spriggs, Ekaterina H., Fernando De La Torre, and Martial Hebert, Computer Vision and Pattern Recognition Workshops",WCVPR,2009,Papers,Temporal Segmentation (Action Detection),,,https://ieeexplore.ieee.org/document/5204354,,,,,
,,Domain Adaptation in Multi-View Embedding for Cross-Modal Video Retrieval," Jonathan Munro, Michael Wray, Diane Larlus, Gabriela Csurka, Dima Damen",,2021,Papers,Retrieval ,,,https://arxiv.org/abs/2110.12812,,,,,
,,On Semantic Similarity in Video Retrieval," Michael Wray, Hazel Doughty, Dima Damen",CVPR,2021,Papers,Retrieval ,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Wray_On_Semantic_Similarity_in_Video_Retrieval_CVPR_2021_paper.pdf,,,,,
,,Fine-Grained Action Retrieval Through Multiple Parts-of-Speech Embeddings," Michael Wray, Diane Larlus, Gabriela Csurka, Dima Damen",ICCV,2019,Papers,Retrieval ,,,https://openaccess.thecvf.com/content_ICCV_2019/papers/Wray_Fine-Grained_Action_Retrieval_Through_Multiple_Parts-of-Speech_Embeddings_ICCV_2019_paper.pdf,,,,,
,,Egocentric Video-Language Pretraining," Kevin Qinghong Lin, Alex Jinpeng Wang, Mattia Soldan, Michael Wray, Rui Yan, Eric Zhongcong Xu, Difei Gao, Rongcheng Tu, Wenzhe Zhao, Weijie Kong, Chengfei Cai, Hongfa Wang, Dima Damen, Bernard Ghanem, Wei Liu",,2022,Papers,Video-Language,,,https://arxiv.org/pdf/2206.01670.pdf,,,,,
,,Episodic Memory Question Answering," Samyak Datta, Sameer Dharur, Vincent Cartillier, Ruta Desai, Mukul Khanna, Dhruv Batra",CVPR,2022,Papers,Video-Language,,,https://arxiv.org/pdf/2205.01652.pdf,,,,,
,,Unifying Few- and Zero-Shot Egocentric Action Recognition,"Tyler R. Scott, Michael Shvartsman, Karl Ridgeway",CVPRW,2021,Papers,Few-Shot Action Recognition,,,https://arxiv.org/abs/2006.11393,,,,,
,,1000 Pupil Segmentations in a Second Using Haar Like Features and Statistical Learning," Wolfgang Fuhl, Johannes Schneider, Enkelejda Kasneci",WICCV,2021,Papers,Gaze,,,https://openaccess.thecvf.com/content/ICCV2021W/EPIC/html/Fuhl_1000_Pupil_Segmentations_in_a_Second_Using_Haar_Like_Features_ICCVW_2021_paper.html,,,,,
,,Ego-Exo: Transferring Visual Representations From Third-Person to First-Person Videos," Yanghao Li, Tushar Nagarajan, Bo Xiong, Kristen Grauman",CVPR,2021,Papers,From Third-Person to First-Person ,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Li_Ego-Exo_Transferring_Visual_Representations_From_Third-Person_to_First-Person_Videos_CVPR_2021_paper.pdf,,,,,
,,Actor and Observer: Joint Modeling of First and Third-Person Videos, Gunnar A. Sigurdsson and Abhinav Gupta and Cordelia Schmid and Ali Farhadi and Karteek Alahari,CVPR,2018,Papers,From Third-Person to First-Person ,,,https://openaccess.thecvf.com/content_cvpr_2018/papers/Sigurdsson_Actor_and_Observer_CVPR_2018_paper.pdf,,https://github.com/gsig/actor-observer,,,
,,Making Third Person Techniques Recognize First-Person Actions in Egocentric Videos," Sagar Verma, Pravin Nagar, Divam Gupta, Chetan Arora",ICIP,2018,Papers,From Third-Person to First-Person ,,,https://ieeexplore.ieee.org/abstract/document/8451249?casa_token=p1k79yrTIkMAAAAA:QHlXMC8Y7qrCEDsdypGNZbh7zeoEPVEs2k6j5a0g1MkvA76Uf6_VDIfCzbiG2bWdU8EoFyagbK4,,,,,
,,Dynamics-regulated kinematic policy for egocentric pose estimation," Zhengyi Luo, Ryo Hachiuma, Ye Yuan, Kris Kitani",NIPS,2021,Papers,User Data from an Egocentric Point of View,,,https://proceedings.neurips.cc/paper/2021/hash/d1fe173d08e959397adf34b1d77e88d7-Abstract.html,,,,,
,,Estimating Egocentric 3D Human Pose in Global Space," Jian Wang, Lingjie Liu, Weipeng Xu, Kripasindhu Sarkar, Christian Theobalt",ICCV,2021,Papers,User Data from an Egocentric Point of View,,,https://openaccess.thecvf.com/content/ICCV2021/html/Wang_Estimating_Egocentric_3D_Human_Pose_in_Global_Space_ICCV_2021_paper.html,,,,,
,,Egocentric Pose Estimation From Human Vision Span," Hao Jiang, Vamsi Krishna Ithapu",ICCV,2021,Papers,User Data from an Egocentric Point of View,,,https://openaccess.thecvf.com/content/ICCV2021/html/Jiang_Egocentric_Pose_Estimation_From_Human_Vision_Span_ICCV_2021_paper.html,,,,,
,,EgoRenderer: Rendering Human Avatars From Egocentric Camera Images," Tao Hu, Kripasindhu Sarkar, Lingjie Liu, Matthias Zwicker, Christian Theobalt",ICCV,2021,Papers,User Data from an Egocentric Point of View,,,https://openaccess.thecvf.com/content/ICCV2021/html/Hu_EgoRenderer_Rendering_Human_Avatars_From_Egocentric_Camera_Images_ICCV_2021_paper.html,,,,,
,,Whose Hand Is This? Person Identification From Egocentric Hand Gestures," Satoshi Tsutsui, Yanwei Fu, David J. Crandall",WACV,2021,Papers,User Data from an Egocentric Point of View,,,https://openaccess.thecvf.com/content/WACV2021/html/Tsutsui_Whose_Hand_Is_This_Person_Identification_From_Egocentric_Hand_Gestures_WACV_2021_paper.html,,,,,
,,Recognizing Camera Wearer from Hand Gestures in Egocentric Videos," Daksh Thapar, Aditya Nigam, Chetan Arora",MM,2020,Papers,User Data from an Egocentric Point of View,,,https://dl.acm.org/doi/pdf/10.1145/3394171.3413654?casa_token=tlspOQU5qekAAAAA:rM0hbyyg1cvY5KRK16blErILxTO_OJpU9CIr8W9nDxBbdvjJBNxyKJ5GcNWTjrgJwV_H_Me8cFlj,,,,,
,,You2Me: Inferring Body Pose in Egocentric Video via First and Second Person Interactions," Ng, Evonne and Xiang, Donglai and Joo, Hanbyul and Grauman, Kristen",CVPR,2020,Papers,User Data from an Egocentric Point of View,,,https://openaccess.thecvf.com/content_CVPR_2020/papers/Ng_You2Me_Inferring_Body_Pose_in_Egocentric_Video_via_First_and_CVPR_2020_paper.pdf,,https://github.com/facebookresearch/you2me#,,,
,,Ego-Pose Estimation and Forecasting as Real-Time PD Control, Ye Yuan and Kris Kitani,ICCV,2019,Papers,User Data from an Egocentric Point of View,,,https://openaccess.thecvf.com/content_ICCV_2019/papers/Yuan_Ego-Pose_Estimation_and_Forecasting_As_Real-Time_PD_Control_ICCV_2019_paper.pdf,,https://github.com/Khrylx/EgoPose,,,
,,xR-EgoPose: Egocentric 3D Human Pose From an HMD Camera," Tome, Denis and Peluse, Patrick and Agapito, Lourdes and Badino, Hernan",ICCV,2019,Papers,User Data from an Egocentric Point of View,,,https://openaccess.thecvf.com/content_ICCV_2019/papers/Tome_xR-EgoPose_Egocentric_3D_Human_Pose_From_an_HMD_Camera_ICCV_2019_paper.pdf,,,,,
,,3D Ego-Pose Estimation via Imitation Learning," Ye Yuan, Kris Kitani",ECCV,2018,Papers,User Data from an Egocentric Point of View,,,https://openaccess.thecvf.com/content_ECCV_2018/html/Ye_Yuan_3D_Ego-Pose_Estimation_ECCV_2018_paper.html,,,,,
,,Egocentric Indoor Localization From Room Layouts and Image Outer Corners," Xiaowei Chen, Guoliang Fan",WICCV,2021,Papers,Localization ,,,https://openaccess.thecvf.com/content/ICCV2021W/EPIC/html/Chen_Egocentric_Indoor_Localization_From_Room_Layouts_and_Image_Outer_Corners_ICCVW_2021_paper.html,,,,,
,,Egocentric Activity Recognition and Localization on a 3D Map," Miao Liu, Lingni Ma, Kiran Somasundaram, Yin Li, Kristen Grauman, James M. Rehg, Chao Li",,2021,Papers,Localization ,,,https://arxiv.org/abs/2105.09544,,,,,
,,Egocentric Shopping Cart Localization," E. Spera, A. Furnari, S. Battiato, G. M. Farinella",ICPR,2018,Papers,Localization ,,,https://iplab.dmi.unict.it/EgocentricShoppingCartLocalization/home/_paper/egocentric%20shopping%20cart%20localization.pdf,,,,,
,,Recognizing personal locations from egocentric videos," Furnari, A., Farinella, G. M., & Battiato, S.",IEEE Transactions on Human-Machine Systems,2017,Papers,Localization ,,,https://ieeexplore.ieee.org/document/7588113,,,,,
,,Context-based vision system for place and object recognition," Torralba, A., Murphy, K. P., Freeman, W. T., & Rubin, M. A.",ICCV,2003,Papers,Localization ,,,https://www.cs.ubc.ca/~murphyk/Papers/iccv03.pdf,,,,,
,,Anonymizing Egocentric Videos," Daksh Thapar, Aditya Nigam, Chetan Arora",ICCV,2021,Papers,Privacy protection,,,https://openaccess.thecvf.com/content/ICCV2021/papers/Thapar_Anonymizing_Egocentric_Videos_ICCV_2021_paper.pdf,,,,,
,,Mitigating Bystander Privacy Concerns in Egocentric Activity Recognition with Deep Learning and Intentional Image Degradation," Dimiccoli, M., Marín, J., & Thomaz, E., Proceedings of the ACM on Interactive, Mobile", Wearable and Ubiquitous Technologies,2018,Papers,Privacy protection,,,http://users.ece.utexas.edu/~ethomaz/papers/j2.pdf,,,,,
,,Privacy-Preserving Human Activity Recognition from Extreme Low Resolution," Ryoo, M. S., Rothrock, B., Fleming, C., & Yang, H. J.",AAAI,2017,Papers,Privacy protection,,,https://arxiv.org/pdf/1604.03196,,,,,
,,EgoCom: A Multi-person Multi-modal Egocentric Communications Dataset, Curtis G. Northcutt and Shengxin Zha and Steven Lovegrove and Richard Newcombe,PAMI,2020,Papers,Social Interactions,,,https://ieeexplore.ieee.org/document/9200754,,,,,
,,Deep Dual Relation Modeling for Egocentric Interaction Recognition," Li, Haoxin and Cai, Yijun and Zheng, Wei-Shi",CVPR,2019,Papers,Social Interactions,,,https://openaccess.thecvf.com/content_CVPR_2019/papers/Li_Deep_Dual_Relation_Modeling_for_Egocentric_Interaction_Recognition_CVPR_2019_paper.pdf,,,,,
,,Recognizing Micro-Actions and Reactions from Paired Egocentric Videos," Yonetani, Ryo and Kitani, Kris M. and Sato, Yoichi",CVPR,2016,Papers,Social Interactions,,,https://openaccess.thecvf.com/content_cvpr_2016/papers/Yonetani_Recognizing_Micro-Actions_and_CVPR_2016_paper.pdf,,,,,
,,Social interactions: A first-person perspective," Fathi, A., Hodgins, J. K., & Rehg, J. M.",CVPR,2012,Papers,Social Interactions,,,http://www.cs.utexas.edu/~cv-fall2012/slides/jake-expt.pdf,,,,,
,,"Ego4D: Around the World in 3,000 Hours of Egocentric Video"," Kristen Grauman, Andrew Westbury, Eugene Byrne, Zachary Chavis, Antonino Furnari, Rohit Girdhar, Jackson Hamburger, Hao Jiang, Miao Liu, Xingyu Liu, Miguel Martin, Tushar Nagarajan, Ilija Radosavovic, Santhosh Kumar Ramakrishnan, Fiona Ryan, Jayant Sharma, Michael Wray, Mengmeng Xu, Eric Zhongcong Xu, Chen Zhao, Siddhant Bansal, Dhruv Batra, Vincent Cartillier, Sean Crane, Tien Do, Morrie Doulaty, Akshay Erapalli, Christoph Feichtenhofer, Adriano Fragomeni, Qichen Fu, Christian Fuegen, Abrham Gebreselasie, Cristina Gonzalez, James Hillis, Xuhua Huang, Yifei Huang, Wenqi Jia, Weslie Khoo, Jachym Kolar, Satwik Kottur, Anurag Kumar, Federico Landini, Chao Li, Yanghao Li, Zhenqiang Li, Karttikeya Mangalam, Raghava Modhugu, Jonathan Munro, Tullie Murrell, Takumi Nishiyasu, Will Price, Paola Ruiz Puentes, Merey Ramazanova, Leda Sari, Kiran Somasundaram, Audrey Southerland, Yusuke Sugano, Ruijie Tao, Minh Vo, Yuchen Wang, Xindi Wu, Takuma Yagi, Yunyi Zhu, Pablo Arbelaez, David Crandall, Dima Damen, Giovanni Maria Farinella, Bernard Ghanem, Vamsi Krishna Ithapu, C. V. Jawahar, Hanbyul Joo, Kris Kitani, Haizhou Li, Richard Newcombe, Aude Oliva, Hyun Soo Park, James M. Rehg, Yoichi Sato, Jianbo Shi, Mike Zheng Shou, Antonio Torralba, Lorenzo Torresani, Mingfei Yan, Jitendra Malik",CVPR,2023,Papers,Multiple Egocentric Tasks,,,https://openaccess.thecvf.com/content/CVPR2023/html/Gong_MMG-Ego4D_Multimodal_Generalization_in_Egocentric_Action_Recognition_CVPR_2023_paper.html,,,https://drive.google.com/file/d/1oknfQIH9w1rXy6I1j5eUE6Cqh96UwZ4L/view?usp=sharing,,
,,Learning Visual Affordance Grounding from Demonstration Videos," Hongchen Luo, Wei Zhai, Jing Zhang, Yang Cao, Dacheng Tao",,2021,Papers,Activity-context,,,https://arxiv.org/abs/2108.05675,,,,,
,,Shaping embodied agent behavior with activity-context priors from egocentric video," Tushar Nagarajan, Kristen Grauman",NIPS,2021,Papers,Activity-context,,,https://proceedings.neurips.cc/paper/2021/file/f8b7aa3a0d349d9562b424160ad18612-Paper.pdf,,,,,
,,EGO-TOPO: Environment Affordances from Egocentric Video," Tushar Nagarajan, Yanghao Li, Christoph Feichtenhofer, Kristen Grauman",CVPR,2020,Papers,Activity-context,,,https://openaccess.thecvf.com/content_CVPR_2020/html/Nagarajan_Ego-Topo_Environment_Affordances_From_Egocentric_Video_CVPR_2020_paper.html,,,,,
,,Socratic Models: Composing Zero-Shot Multimodal Reasoning with Language," Andy Zeng, Adrian Wong, Stefan Welker, Krzysztof Choromanski, Federico Tombari, Aveek Purohit, Michael Ryoo, Vikas Sindhwani, Johnny Lee, Vincent Vanhoucke, Pete Florence",,2022,Papers,Video summarization,,,https://arxiv.org/abs/2204.00598,,,,,
,,Egocentric video summarisation via purpose-oriented frame scoring and selection, V. Javier Traver and Dima Damen,,2022,Papers,Video summarization,,,https://www.sciencedirect.com/science/article/pii/S0957417421014159,,,,,
,,Multi-stream dynamic video Summarization," Mohamed Elfeki, Liqiang Wang, Ali Borji",WACV,2022,Papers,Video summarization,,,https://openaccess.thecvf.com/content/WACV2022/html/Elfeki_Multi-Stream_Dynamic_Video_Summarization_WACV_2022_paper.html,,,,,
,,"Together Recognizing, Localizing and Summarizing Actions in Egocentric Videos", Abhimanyu Sahu; Ananda S. Chowdhury,TIP,2021,Papers,Video summarization,,,https://ieeexplore.ieee.org/abstract/document/9399266?casa_token=R8LKJM45-MgAAAAA:Pfjxjt8k7l4SD_iopfL9JYsq2k6ShpZGATkXg-z5B4BTuPQV3A4HqhtZ2VqhVPtiIVbPIi_oaPU,,,,,
,,First person video summarization using different graph representations," Abhimanyu Sahu, Ananda S.Chowdhury", Pattern Recognition Letters,2021,Papers,Video summarization,,,https://www.sciencedirect.com/science/article/pii/S0167865521001008?casa_token=H7rMpQAduAsAAAAA:Aq6ryy4IihojkZ9Tj3LoYRxT66VO3KmdBIiRTJoDvd_WBNIsHJxhruPTSNrzR6NniRg8iYyk,,,,,
,,Summarizing egocentric videos using deep features and optimal clustering," Abhimanyu Sahu, Ananda S.Chowdhury",Neurocomputing,2020,Papers,Video summarization,,,https://www.sciencedirect.com/science/article/pii/S0925231220302952,,,,,
,,Text Synopsis Generation for Egocentric Videos, Aidean Sharghi; Niels da Vitoria Lobo; Mubarak Shah,ICPR,2020,Papers,Video summarization,,,https://ieeexplore.ieee.org/abstract/document/9412111?casa_token=Vf3uXoASupsAAAAA:CHg-misMhCLcZn-CWdUFFBLJ_SGlvsmZrAc-lfujd5yxVQSF0pr13RAYSdmrOTfYaTB0xKTj_Wg,,,,,
,,Shot Level Egocentric Video Co-summarization, Abhimanyu Sahu; Ananda S. Chowdhury,ICPR,2018,Papers,Video summarization,,,https://ieeexplore.ieee.org/document/8546119,,,,,
